fight_id,event_date,weight_class,A_id,B_id,label,d_pf_win_pct,d_pf_win_pct_last5,d_pf_win_streak,d_pf_total_fights,d_pf_days_since_last,d_pf_fights_last_365d,d_car_sig_str_acc,d_car_sig_str_att_pervol,d_car_td_acc,d_car_td_att_pervol,d_car_str_def,d_car_td_def,d_car_str_def_qadj,d_car_td_def_qadj,d_car_ctrl_sec,d_car_kd,d_car_sub_att,d_trend_sig_str_acc,d_trend_td_acc,d_trend_td_attempts,d_trend_sig_output,d_trend_damage_absorbed,d_trend_winpct,d_pf_ko_losses,d_pf_sub_losses,d_pf_dec_losses,d_pf_fights_since_ko_loss,d_pf_fights_since_finish_loss,d_pf_ever_ko_loss,d_pf_ever_finish_loss,d_pf_career_damage_absorbed,d_pf_damage_absorbed_per_fight,d_pf_pct_reach_r3,d_pf_late_win_rate,d_pf_avg_fight_duration,d_pf_elo,d_pf_sos_avg_opp_elo,d_pf_sos_opp_elo_last5,d_age_at_fight,d_reach_use,d_height_in,stance_A,stance_B,stance_mismatch,A_total_fights,B_total_fights,A_is_debut,B_is_debut
0e8599eca8ccfa32,2025-06-07,Lightweight,e2be0c1a9b886d92,001eb2ab0f30e7ea,1,,,2.0,2,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,29.4258827041956,,,-1.1088295687885008,0.0,2.0,Orthodox,Orthodox,0,2,0,False,True
bc01ce748a5723df,2019-07-20,Bantamweight,002ca196477ce572,a4de54ea806fb525,0,,,2.0,-9,,-1.0,,,,,,,,,,,,,,,,,,,,,,,0,-1,,,,,,-21.26252283600843,,,-1.0595482546201218,8.0,2.0,Orthodox,Orthodox,0,0,9,True,False
0e3af9b5e1b3ae80,2020-02-29,Bantamweight,60425d07ef4b91a7,002ca196477ce572,1,,,1.0,-1,,-1.0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,15.02204522837178,,,-0.7939767282683086,1.0,2.0,Orthodox,Orthodox,0,0,1,True,False
0bcb04163f8d8ead,2020-02-29,Featherweight,be68b375707dcb85,003d82fa384ca1d0,1,,,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.0,,,-3.6249144421629005,-7.0,-4.0,Switch,Switch,0,0,0,True,True
e2abba69c3371618,2021-03-06,Lightweight,003d82fa384ca1d0,681399317dbf4701,0,,,-1.0,1,,0.0,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,-16.0,,,3.5947980835044504,7.0,-1.0,Switch,Southpaw,1,1,0,False,True
f4f5049e789b7716,2017-03-11,Welterweight,1bcaac2d99b90fce,0052de90691d4a93,1,,,1.0,7,,2.0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,61.01069921292583,,,4.287474332648873,2.0,6.0,Orthodox,Orthodox,0,7,0,False,True
f9536ea60551b840,2017-12-09,Lightweight,feaf00f3373435d6,0052de90691d4a93,0,0.5,0.5,0.0,1,35.0,0.0,0.29533697632058287,-9.5,,-1.0,-0.05782358452683711,,-0.07306584765108681,,15.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,,,0,1,76.0,18.5,-0.5,0.5,-89.5,14.690907868168324,-36.98305162363545,-36.98305162363545,0.38877481177275897,-2.0,2.0,Orthodox,Orthodox,0,2,1,False,False
5ea39e0fc3b64e83,2018-05-12,Lightweight,2816ced060a21be3,0052de90691d4a93,0,0.30000000000000004,0.30000000000000004,2.0,3,462.0,-1.0,0.02105110336817656,-22.200000000000003,-0.16666666666666669,-2.0,0.09763204143927484,,0.08756235194337358,,-40.099999999999994,0.4,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,114.0,-2.700000000000003,0.0,0.30000000000000004,125.0,42.42805001649435,-27.918972713863695,-27.918972713863695,2.532511978097194,-4.0,0.0,Southpaw,Orthodox,1,5,2,False,False
933cf2674503c63d,2018-11-10,Lightweight,0052de90691d4a93,3956bdc8ab2e54b3,1,-0.33333333333333337,-0.33333333333333337,1.0,2,55.0,1.0,-0.008188666885031115,15.0,0.12440191387559807,-15.333333333333334,0.08801020408163274,,0.10152549160106827,,-549.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0,0,27.0,-30.333333333333332,-0.33333333333333337,-0.6666666666666667,-98.33333333333334,5.401485886170576,36.122677551946026,36.122677551946026,-0.9472963723477079,-2.0,-3.0,Orthodox,Orthodox,0,3,1,False,False
65c1ca715dfdbe05,2019-05-18,Lightweight,0052de90691d4a93,d2cd7a69cc55e7ed,1,,,3.0,4,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,37.152758307426666,,,5.127994524298426,-1.0,-4.0,Orthodox,Orthodox,0,4,0,False,True
