event_name,event_url,fight_url,fighter_names,fighter_ids,winner,result_raw,method,round,time,weight_class,totals,per_round_breakdown
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/989760fa75321d69,Conor McGregor | Max Holloway,,Max Holloway,win,KO/TKO,1,1:09,Welterweight,"{""rows"": [{""Fighter"": [""Conor McGregor"", ""Max Holloway""], ""KD"": [""0"", ""0""], ""Sig. str."": [""0 of 6"", ""12 of 19""], ""Sig. str. %"": [""0%"", ""63%""], ""Total str."": [""5 of 11"", ""14 of 22""], ""Td"": [""0 of 0"", ""0 of 0""], ""Td %"": [""---"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:00"", ""0:37""]}], ""fighters"": [""Conor McGregor"", ""Max Holloway""]}",Per round RD1 0 of 6 - 0% 12 of 19 - 63% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/130b325610c54a64,Benoit Saint Denis | Paddy Pimblett,,Paddy Pimblett,win,Submission,1,0:52,Lightweight,"{""rows"": [{""Fighter"": [""Benoit Saint Denis"", ""Paddy Pimblett""], ""KD"": [""0"", ""0""], ""Sig. str."": [""1 of 3"", ""4 of 5""], ""Sig. str. %"": [""33%"", ""80%""], ""Total str."": [""1 of 3"", ""4 of 5""], ""Td"": [""0 of 1"", ""0 of 0""], ""Td %"": [""0%"", ""---""], ""Sub. att"": [""0"", ""1""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:04"", ""0:37""]}], ""fighters"": [""Benoit Saint Denis"", ""Paddy Pimblett""]}",Per round RD1 1 of 3 - 33% 4 of 5 - 80% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/c572daedf2012a49,Cory Sandhagen | Mario Bautista,,Mario Bautista,win,Decision - Unanimous,3,5:00,Bantamweight,"{""rows"": [{""Fighter"": [""Cory Sandhagen"", ""Mario Bautista""], ""KD"": [""0"", ""1""], ""Sig. str."": [""89 of 176"", ""114 of 185""], ""Sig. str. %"": [""50%"", ""61%""], ""Total str."": [""104 of 196"", ""143 of 215""], ""Td"": [""1 of 4"", ""8 of 20""], ""Td %"": [""25%"", ""40%""], ""Sub. att"": [""0"", ""3""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""1:13"", ""3:21""]}], ""fighters"": [""Cory Sandhagen"", ""Mario Bautista""]}",Per round RD1 39 of 71 - 54% 35 of 52 - 67% RD2 39 of 77 - 50% 39 of 79 - 49% RD3 11 of 28 - 39% 40 of 54 - 74% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/a3ab1979192b647c,Brandon Royval | Lone'er Kavanagh,,Brandon Royval,win,Submission,3,3:40,Flyweight,"{""rows"": [{""Fighter"": [""Brandon Royval"", ""Lone'er Kavanagh""], ""KD"": [""0"", ""1""], ""Sig. str."": [""84 of 152"", ""56 of 94""], ""Sig. str. %"": [""55%"", ""59%""], ""Total str."": [""146 of 218"", ""63 of 101""], ""Td"": [""3 of 6"", ""1 of 2""], ""Td %"": [""50%"", ""50%""], ""Sub. att"": [""2"", ""1""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""4:53"", ""2:09""]}], ""fighters"": [""Brandon Royval"", ""Lone'er Kavanagh""]}",Per round RD1 32 of 59 - 54% 19 of 34 - 55% RD2 31 of 66 - 46% 34 of 55 - 61% RD3 21 of 27 - 77% 3 of 5 - 60% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/a26ea74f2e908842,King Green | Terrance McKinney,,King Green,win,KO/TKO,1,4:59,Lightweight,"{""rows"": [{""Fighter"": [""King Green"", ""Terrance McKinney""], ""KD"": [""1"", ""0""], ""Sig. str."": [""43 of 72"", ""45 of 80""], ""Sig. str. %"": [""59%"", ""56%""], ""Total str."": [""57 of 86"", ""59 of 96""], ""Td"": [""0 of 0"", ""1 of 1""], ""Td %"": [""---"", ""100%""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:03"", ""2:12""]}], ""fighters"": [""King Green"", ""Terrance McKinney""]}",Per round RD1 43 of 72 - 59% 45 of 80 - 56% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/7765e5e779dd7dc9,Nikita Krylov | Robert Whittaker,,Robert Whittaker,win,KO/TKO,3,1:01,Light Heavyweight,"{""rows"": [{""Fighter"": [""Nikita Krylov"", ""Robert Whittaker""], ""KD"": [""0"", ""0""], ""Sig. str."": [""51 of 99"", ""54 of 111""], ""Sig. str. %"": [""51%"", ""48%""], ""Total str."": [""57 of 106"", ""55 of 112""], ""Td"": [""3 of 6"", ""0 of 0""], ""Td %"": [""50%"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""2:10"", ""0:00""]}], ""fighters"": [""Nikita Krylov"", ""Robert Whittaker""]}",Per round RD1 20 of 40 - 50% 20 of 38 - 52% RD2 28 of 52 - 53% 29 of 61 - 47% RD3 3 of 7 - 42% 5 of 12 - 41% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/118c25bda9392140,Gable Steveson | Elisha Ellison,,Gable Steveson,win,KO/TKO,1,2:31,Heavyweight,"{""rows"": [{""Fighter"": [""Gable Steveson"", ""Elisha Ellison""], ""KD"": [""1"", ""0""], ""Sig. str."": [""41 of 57"", ""13 of 33""], ""Sig. str. %"": [""71%"", ""39%""], ""Total str."": [""41 of 57"", ""14 of 34""], ""Td"": [""0 of 1"", ""0 of 0""], ""Td %"": [""0%"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:10"", ""0:00""]}], ""fighters"": [""Gable Steveson"", ""Elisha Ellison""]}",Per round RD1 41 of 57 - 71% 13 of 33 - 39% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/e9f389ba3a1e33c4,Cody Garbrandt | Adrian Yanez,,Adrian Yanez,win,KO/TKO,1,2:47,Bantamweight,"{""rows"": [{""Fighter"": [""Cody Garbrandt"", ""Adrian Yanez""], ""KD"": [""0"", ""1""], ""Sig. str."": [""13 of 32"", ""16 of 30""], ""Sig. str. %"": [""40%"", ""53%""], ""Total str."": [""13 of 32"", ""16 of 30""], ""Td"": [""0 of 1"", ""0 of 0""], ""Td %"": [""0%"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:00"", ""0:00""]}], ""fighters"": [""Cody Garbrandt"", ""Adrian Yanez""]}",Per round RD1 13 of 32 - 40% 16 of 30 - 53% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/930317fde9dbc55e,Luke Riley | Kai Kamaka III,,Luke Riley,win,KO/TKO,1,3:03,Featherweight,"{""rows"": [{""Fighter"": [""Luke Riley"", ""Kai Kamaka III""], ""KD"": [""1"", ""0""], ""Sig. str."": [""43 of 67"", ""23 of 41""], ""Sig. str. %"": [""64%"", ""56%""], ""Total str."": [""43 of 67"", ""23 of 41""], ""Td"": [""0 of 0"", ""0 of 0""], ""Td %"": [""---"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:02"", ""0:00""]}], ""fighters"": [""Luke Riley"", ""Kai Kamaka III""]}",Per round RD1 43 of 67 - 64% 23 of 41 - 56% Landed Attempted
UFC 329: McGregor vs. Holloway 2,http://ufcstats.com/event-details/fccb0fee256b7b4d,http://ufcstats.com/fight-details/e84c3f1f9a33fa90,Tracy Cortez | Wang Cong,,Wang Cong,win,Decision - Unanimous,3,5:00,Women's Flyweight,"{""rows"": [{""Fighter"": [""Tracy Cortez"", ""Wang Cong""], ""KD"": [""0"", ""0""], ""Sig. str."": [""72 of 156"", ""137 of 215""], ""Sig. str. %"": [""46%"", ""63%""], ""Total str."": [""74 of 158"", ""153 of 231""], ""Td"": [""1 of 9"", ""0 of 0""], ""Td %"": [""11%"", ""---""], ""Sub. att"": [""0"", ""0""], ""Rev."": [""0"", ""0""], ""Ctrl"": [""0:31"", ""1:22""]}], ""fighters"": [""Tracy Cortez"", ""Wang Cong""]}",Per round RD1 21 of 44 - 47% 41 of 63 - 65% RD2 27 of 56 - 48% 52 of 85 - 61% RD3 24 of 56 - 42% 44 of 67 - 65% Landed Attempted
